method,alpha,beta,value
estimated,0.13999999999999999,0.47999999999999976,18117.348979591385
estimated,0.13999999999999999,0.48999999999999977,18139.947586136594
estimated,0.13999999999999999,0.4999999999999998,18162.581058568907
estimated,0.13999999999999999,0.5099999999999998,18185.293126555553
estimated,0.13999999999999999,0.5199999999999998,18208.135722517392
estimated,0.13999999999999999,0.5299999999999998,18231.16502451984
estimated,0.13999999999999999,0.5399999999999998,18254.437473560654
estimated,0.13999999999999999,0.5499999999999998,18278.006025153896
estimated,0.13999999999999999,0.5599999999999997,18301.916853168157
estimated,0.13999999999999999,0.5699999999999997,18326.206667364866
estimated,0.13999999999999999,0.5799999999999997,18350.900742645557
estimated,0.13999999999999999,0.5899999999999997,18376.011695372516
estimated,0.13999999999999999,0.5999999999999998,18401.538986557578
estimated,0.13999999999999999,0.6099999999999998,18427.46908704055
estimated,0.13999999999999999,0.6199999999999998,18453.77620853179
estimated,0.13999999999999999,0.6299999999999997,18480.423486234246
estimated,0.13999999999999999,0.6399999999999997,18507.36449241593
estimated,0.13999999999999999,0.6499999999999997,18534.544963677854
estimated,0.13999999999999999,0.6599999999999997,18561.90463475198
estimated,0.13999999999999999,0.6699999999999997,18589.37908578216
estimated,0.13999999999999999,0.6799999999999997,18616.901526440768
estimated,0.13999999999999999,0.6899999999999997,18644.40445609577
estimated,0.13999999999999999,0.6999999999999996,18671.821154793142
estimated,0.13999999999999999,0.7099999999999996,18699.086972899833
estimated,0.13999999999999999,0.7199999999999996,18726.140399404245
estimated,0.13999999999999999,0.7299999999999996,18752.923898481946
estimated,0.13999999999999999,0.7399999999999997,18779.38451304695
estimated,0.13999999999999999,0.7499999999999997,18805.474241313357
estimated,0.13999999999999999,0.7599999999999997,18831.15019962104
estimated,0.13999999999999999,0.7699999999999997,18856.374590733158
estimated,0.13999999999999999,0.7799999999999997,18881.11450257306
estimated,0.13999999999999999,0.7899999999999996,18905.341566720104
estimated,0.13999999999999999,0.7999999999999996,18929.03150968712
estimated,0.13999999999999999,0.8099999999999996,18952.163631891566
estimated,0.13999999999999999,0.8199999999999996,18974.720249783175
estimated,0.13999999999999999,0.8299999999999996,18996.68613522282
estimated,0.13999999999999999,0.8399999999999996,19018.04798324758
estimated,0.13999999999999999,0.8499999999999996,19038.793934935762
estimated,0.13999999999999999,0.8599999999999995,19058.913175925583
estimated,0.13999999999999999,0.8699999999999996,19078.395625045545
estimated,0.13999999999999999,0.8799999999999996,19097.23172004859
estimated,0.13999999999999999,0.8899999999999996,19115.41230067912
estimated,0.13999999999999999,0.8999999999999996,19132.928582943685
estimated,0.13999999999999999,0.9099999999999996,19149.7722128589
estimated,0.13999999999999999,0.9199999999999996,19165.935383824566
estimated,0.13999999999999999,0.9299999999999996,19181.410998842417
estimated,0.13999999999999999,0.9399999999999996,19196.192857499733
estimated,0.13999999999999999,0.9499999999999995,19210.27584770735
estimated,0.13999999999999999,0.9599999999999995,19223.65612367201
estimated,0.13999999999999999,0.9699999999999995,19236.331254140845
estimated,0.13999999999999999,0.9799999999999995,19248.300328102792
estimated,0.13999999999999999,0.9899999999999995,19259.564009528192
estimated,0.14999999999999997,0.1,17495.70625141586
estimated,0.14999999999999997,0.11,17490.432220312112
estimated,0.14999999999999997,0.12,17483.114315514485
estimated,0.14999999999999997,0.13,17474.686739458262
estimated,0.14999999999999997,0.13999999999999999,17465.991924739
estimated,0.14999999999999997,0.14999999999999997,17457.768011977794
estimated,0.14999999999999997,0.15999999999999998,17450.622330189697
estimated,0.14999999999999997,0.16999999999999998,17445.012995128174
estimated,0.14999999999999997,0.17999999999999997,17441.247978656753
estimated,0.14999999999999997,0.18999999999999995,17439.500346657544
estimated,0.14999999999999997,0.19999999999999996,17439.833370726155
estimated,0.14999999999999997,0.20999999999999996,17442.22883607425
estimated,0.14999999999999997,0.21999999999999995,17446.613719003864
estimated,0.14999999999999997,0.22999999999999995,17452.882628869284
estimated,0.14999999999999997,0.23999999999999994,17460.915103811796
estimated,0.14999999999999997,0.24999999999999992,17470.587846846873
estimated,0.14999999999999997,0.2599999999999999,17481.782459260707
estimated,0.14999999999999997,0.2699999999999999,17494.389407327824
estimated,0.14999999999999997,0.2799999999999999,17508.309015609033
estimated,0.14999999999999997,0.2899999999999999,17523.450300461758
estimated,0.14999999999999997,0.29999999999999993,17539.728454682692
estimated,0.14999999999999997,0.30999999999999994,17557.06175758946
estimated,0.14999999999999997,0.3199999999999999,17575.368595757198
estimated,0.14999999999999997,0.32999999999999985,17594.565137219568
estimated,0.14999999999999997,0.33999999999999986,17614.5640201107
estimated,0.14999999999999997,0.34999999999999987,17635.274220792726
estimated,0.14999999999999997,0.3599999999999999,17656.60208376262
estimated,0.14999999999999997,0.3699999999999999,17678.453346385762
estimated,0.14999999999999997,0.3799999999999999,17700.735887744184
estimated,0.14999999999999997,0.3899999999999999,17723.36287182951
estimated,0.14999999999999997,0.3999999999999998,17746.255938674247
estimated,0.14999999999999997,0.4099999999999998,17769.34811283926
estimated,0.14999999999999997,0.4199999999999998,17792.586141757005
estimated,0.14999999999999997,0.4299999999999998,17815.932039518997
estimated,0.14999999999999997,0.43999999999999984,17839.36369046484
estimated,0.14999999999999997,0.44999999999999984,17862.87445445652
estimated,0.14999999999999997,0.45999999999999985,17886.471805781424
estimated,0.14999999999999997,0.46999999999999986,17910.175121394866
estimated,0.14999999999999997,0.47999999999999976,17934.012803807647
estimated,0.14999999999999997,0.48999999999999977,17958.0189720289
estimated,0.14999999999999997,0.4999999999999998,17982.229976558494
estimated,0.14999999999999997,0.5099999999999998,18006.680990643803
estimated,0.14999999999999997,0.5199999999999998,18031.402902414582
estimated,0.14999999999999997,0.5299999999999998,18056.41968713137
estimated,0.14999999999999997,0.5399999999999998,18081.74638224241
estimated,0.14999999999999997,0.5499999999999998,18107.387728440593
estimated,0.14999999999999997,0.5599999999999997,18133.33748362099
estimated,0.14999999999999997,0.5699999999999997,18159.578368953225
estimated,0.14999999999999997,0.5799999999999997,18186.08257027635
estimated,0.14999999999999997,0.5899999999999997,18212.812694230106
estimated,0.14999999999999997,0.5999999999999998,18239.72306716987
estimated,0.14999999999999997,0.6099999999999998,18266.761263394405
estimated,0.14999999999999997,0.6199999999999998,18293.869755737953
estimated,0.14999999999999997,0.6299999999999997,18320.987593367085
estimated,0.14999999999999997,0.6399999999999997,18348.052026383197
estimated,0.14999999999999997,0.6499999999999997,18375.00001298161
estimated,0.14999999999999997,0.6599999999999997,18401.76956073304
estimated,0.14999999999999997,0.6699999999999997,18428.30086840638
estimated,0.14999999999999997,0.6799999999999997,18454.537248541692
estimated,0.14999999999999997,0.6899999999999997,18480.425822803416
estimated,0.14999999999999997,0.6999999999999996,18505.917992837607
estimated,0.14999999999999997,0.7099999999999996,18530.96969841872
estimated,0.14999999999999997,0.7199999999999996,18555.541482410845
estimated,0.14999999999999997,0.7299999999999996,18579.598388211038
estimated,0.14999999999999997,0.7399999999999997,18603.109720203014
estimated,0.14999999999999997,0.7499999999999997,18626.048700497395
estimated,0.14999999999999997,0.7599999999999997,18648.3920567395
estimated,0.14999999999999997,0.7699999999999997,18670.119574952932
estimated,0.14999999999999997,0.7799999999999997,18691.21364911393
estimated,0.14999999999999997,0.7899999999999996,18711.658855200465
estimated,0.14999999999999997,0.7999999999999996,18731.4415722357
estimated,0.14999999999999997,0.8099999999999996,18750.549666601735
estimated,0.14999999999999997,0.8199999999999996,18768.972249514718
estimated,0.14999999999999997,0.8299999999999996,18786.699510745155
estimated,0.14999999999999997,0.8399999999999996,18803.722625787363
estimated,0.14999999999999997,0.8499999999999996,18820.03372834523
estimated,0.14999999999999997,0.8599999999999995,18835.625935916247
estimated,0.14999999999999997,0.8699999999999996,18850.493413695225
